"Data S1. Repartition of the calls according to animal identity (ID), species, call type, emotional valence, context of vocal production, and their respective number of occurrences, along with references to original studies. Related to STAR Methods.",col_1,col_2,col_3,col_4,col_5,col_6
Animal ID,Species,Call type,Valence,Context,Nb of calls,Reference
99042,,,Positive,Reunion with the whole group,1,
99043,,,Negative,Separation from one group member,1,
99043,,,Negative,Separation from the whole group,6,
99043,,,Positive,Reunion with one group member,1,
99043,,,Positive,Reunion with the whole group,3,
99047,,,Negative,Separation from one group member,1,
99047,,,Negative,Separation from the whole group,18,
99047,,,Positive,Reunion with the whole group,5,
99051,,,Negative,Separation from the whole group,23,
99053,,,Negative,Separation from the whole group,9,
99053,,,Positive,Reunion with the whole group,3,
99054,,,Positive,Reunion with the whole group,2,
99055,,,Negative,Separation from one group member,9,
99055,,,Negative,Separation from the whole group,14,
99055,,,Positive,Reunion with one group member,2,
99055,,,Positive,Reunion with the whole group,7,
99056,,,Negative,Separation from one group member,16,
99056,,,Negative,Separation from the whole group,3,
99056,,,Positive,Reunion with one group member,2,
99056,,,Positive,Reunion with the whole group,5,
99057,,,Positive,Reunion with the whole group,1,
99068,,,Negative,Separation from the whole group,1,
15,Pig,Closed-mouth grunts,Negative,Short social isolation in familiar pen,11,"Briefer, E.F., Vizier, E., Gygax, L., and Hillmann, E. (2019). Expression of emotional valence in pig closed-mouth grunts: involvement of both source- and filter-related parameters. J. Acoust. Soc. Am., 145, 2895"
15,,,Positive,In pair with food and toys in familiar pen,8,
16,,,Negative,Short social isolation in familiar pen,10,
16,,,Positive,In pair with food and toys in familiar pen,10,
17,,,Negative,Short social isolation in familiar pen,10,
17,,,Positive,In pair with food and toys in familiar pen,6,
18,,,Negative,Short social isolation in familiar pen,20,
19,,,Negative,Short social isolation in familiar pen,18,
19,,,Positive,In pair with food and toys in familiar pen,6,
20,,,Negative,Short social isolation in familiar pen,9,
20,,,Positive,In pair with food and toys in familiar pen,10,
21,,,Negative,Short social isolation in familiar pen,11,
